user_address,itemID,amount
0xcbcdca647cfda9283992193604f8718a910b42fc,6,1
0x73e56a6af00481656ee617b26f0953fb3153872b,6,7
0x86a9ebd5e233156243adf4c31491631b14ea9e71,6,84
0xab8a30f98d36e4e183ebc7ebd3f65f0f8475a9fd,6,3
0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,6,340
0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,6,108
0xda057a4149f5a03e7fdcfe92273a59db22b147aa,6,10
0x06b1bf28c962363f212878bdf87417ebd0316220,6,7
0xcdcab24f4cfada35c28fef824cc13bd797b0ca13,6,3
0xc5592b6e87cd2195bb65a73aaa9f83b158578fa1,6,21
0x59aee0e033d64c68fb2a1323f4825799141938f4,6,1
0x0b81747f504dfc906a215e301d8b8ad82e44cbd2,6,9
0x22cab0b36cc4ec24bfd5732d07828b45e7547f9e,6,1
0x4eb172821b5bc013269c4f6f6204f092d44197ec,6,8
0xad63dde7ca39ea3446fb6d29bb91e0cbf7a9a582,6,2
0xf2c38389029df15bac7d81c9959b67787218202d,6,3
0x60c4ae0ee854a20ea7796a9678090767679b30fc,6,110
0x3b3120e283c08daabb5e3f240e008387ef8a67db,6,1
0x407dbc332f834e51737e428fe22ce10fcdb4214f,6,3
0x636db7553dfb9c87dce1a5edf117edcaff1b650a,6,10
0x26cf02f892b04af4cf350539ce2c77fcf79ec172,6,51
0x6157730c4f8e2092f601460b836530e3252b3120,6,12
0x87cdacbec845896b11d449884b7430b89060bba5,6,5
0x9293c35d6e1524609b7221a1c9a8d52dc81ba62c,6,1
0x47d6f96ba098816389db7c87cbf077de7181b853,6,35
0xb76e4a9932538bbad705d2936d0db755389cacff,6,6
0x2a8d763a923d546e0a73c954a08be37978e380cc,6,2
0x071d217637b6322a7faac6895a9eb00e529d3424,6,34
0x577182e41158ba340fd4934ad1fc24b011934a64,6,7
0xba12fda058a14eb03c14613601c3a30d6f955196,6,10
0x8d84655346b3d05a670f78e8fc094f729cc8a682,6,1
0x53bfe0ab71576a3e5a9de6648621d2aa9f5b14a9,6,1
0x10b989914a478ed7de2d2c4cc4e835bbd3de229b,6,11
0x002d2715b179d0db3e17cc28317a98f2f65e6884,6,9
0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,6,132
0x765d9c485bebb431872ea51d000a20623c1e5b94,6,1
0xc54a79174cb43729e65a95e41028c9bac7ab4592,6,5
0xfd41bef1fd45d7db65fb8f4cd3804e4c8daff6b9,6,8
0xa14c5e8d3b5680db8246b18cf986c54905c2249f,6,11
0xba2010e19fa7ca59982a70ff957e1f14c03e2aeb,6,7
0xb049df3c39b9726817c23efb6d58b75b83a19389,6,6
0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,6,12
0x36376646e7e1bf27729c70a549e99b21a1e39fcd,6,12
0x03b16ab6e23bdbeeab719d8e4c49d63674876253,6,8
0xb883acd9dc623635f0e881ea8fbf0f4270f9192a,6,1
0x5761ac2e1cb06cc3f8e1dd7e40b358bb35558def,6,18
0x49848c2eaba520dc3fe7f214f11a233b6d605ef4,6,4
0xedd22868069809f10ced07bf57d833488c3f6ed9,6,2
0x244fe02fbcf4db4ad96063b161f00e444fc54011,6,3
0x503131b5853edb617a4dc4717d898ca270197764,6,11
0x8b9f39b3c76aab744bcee37cc56782bac8eb5ffb,6,5
0x79fbadc28c46663a121e9fee2a863b74277094d4,6,7
0x41603879b16897f7ef0b87327e3fadf8e36641ae,6,29
0x4f58bc39476aa9e5be7127c9ea80a7da917578d9,6,2
0x2bfe6398fee545f1f422db3f65ec86e09385b900,6,1
0x76e059c6ff6bf9fffd5f33afdf4ab2fd511c9df4,6,107
0xf5f3acfe5e2bfb1cb5435fc073a1a642afbb278e,6,14
0x7bb85b553c04cf2dfcbbdac998ea3621e17236c3,6,1
0xb97b5f370548bc8aba84f8635f034880a439f417,6,10
0x478fa4c971a077038b4fc5c172c3af5552224ccc,6,11
0x6eb13bf70edaade22b0c5a7f0de7138ce96d53db,6,3
0x90c88c8331df8a21542b36bba3a0f226e46eb39d,6,13
0xc94d24961abdc547ee466b8563f86c3a1afa8bd4,6,7
0x101addc07d63a6b35b199153252168ab9889dca1,6,8
0x3036fce12570ddf94e86845eadd328562b5fd399,6,1
0x2c5c5db1847a96d879b6244cce9320508bf0a61b,6,9
0x273eb2a0856789d6bf07c374d4270fa89bb045fc,6,26
0x58babcd845405c1a4cb4f6f382954c87a2f0ad0f,6,7
0x8e63e4376dde62cb82f5a91c4bce4156457dedb1,6,16
0x930c11078f73517865101bee9351d1e20fc17850,6,1
0x234a14fddcc2e533156b5a636db9a071d54e9baf,6,3
0xa654e8e6b7e36baae2ebdb1d3bbfc3b4234a6e50,6,1
0x23abad8c65a9a93abcc343892aaf3d6e88b5ccc9,6,2
0x2d5b86cdc4947567e69e2b3cc82c1b6604a87ded,6,1
0x3a05fed22136b55cd3e4e9e60cf559539e691c49,6,1
0xe04ae3fda841868a9d9210db3a2f0ebd931aa0a8,6,4
0x2c4b3063c8400a30f079191e1fc99d935ba9fd24,6,6
0x6fcf9d80e2b597f4b3fa764b5626f573a9fc93d3,6,10
0xee269064cdd22dd6e3ed3cd91f670083df240d93,6,1
0x3e01cbe85caddb812a0483335f69815dafcb8eb7,6,20
0xe29555e804e414e295e2a059fc49d002ec18f268,6,49
0x795f50722cf5ad82f78dda8dc8f7b235332977c3,6,37
0x4cd3210ce0e7aef75ecff5475b75034dc328b1d4,6,1
0x34fb6abc67a85ad6e9eefaf7c5ee00a5b858ab04,6,1
0xf8aaa9bb4605f2fd43a220c8c33a2d9f559dc346,6,5
0xb0ce77b18b8663baa0d6be63b7c5ee0bdf933001,6,1
0x17849f5232aeb12d6f279281385f8031bfba2856,6,2
0x6cfd6661bb3c60bbd7cec938dfe1669faa947965,6,1
0x330b848ca187de63919c6319340881ebe0821b00,6,31
0xde34393312c0c1e97e404d18a04580e9610e063c,6,10
0xbb899870561d48e823ddfacffa201dc20214a530,6,1
0x35001a8bdb3a224d05f086094c12fd4c9009986d,6,29
0x5f45f8296be3f38119d0c56ad339f6bf66154b9b,6,2
0x2c123fc5c27888571cd525e8ae9b0c5ff848386d,6,5
0xf6ed8b6790d5eee91facf2d317941938439159d4,6,9
0x124e64c9ed898d4a8b130f6acb76b33e21cd711c,6,7
0xdd04eab7db82ac64446cccf79c6fba7607942df2,6,1
0x3c2262255793f2b4629f7b9a2d57ce78f7842a8d,6,3
0x7bd0fafe34a8b64afaf16166d644cdbb2b950aab,6,3
0x36fe914c22a25c71044a427a44760b8ece2f98d6,6,5
0x137c0f7d6b2558edf5b8f69eec0635dd43fad6af,6,35
0xf73f9f31e73bc0d5e0d62238c6ede77847131347,6,1
0xab8131fe3c0cb081630502ed26c89c51103e37ce,6,2
0x19e02b992c0295d27eecff941d5dbfaf85409d86,6,3
0xe88632728ed377f556cb964e6f670f6017d497e4,6,6
0x8ded09ffe3110d353f02dce34fb56e305e6ae4ac,6,9
0x36f26e2e5bed062968c17fc770863fd740713205,6,4
0x740b74e09ab2ef3ae1785096c9586e9537ca1429,6,6
0x677975399cbd8aa7bd17a4b87c04ed07a85978d4,6,31
0x174b079bb5aeb7a7ffa2a6407b906a844738428d,6,19
0x22cab81e0fee2bad5b015dbbeb6a374a1b8738de,6,2
0xbcdc432e0b63dadd48693047f5381abc488989c0,6,1
0x3f2bae8c1812078cbbca88b03f67937d8d829c04,6,1
0x3929d8e8e6b983e36e612d2d39eb0ab49b496cf9,6,6
0xe43840e77829b2df75959b7107d172060ab6bd87,6,9
0x34ee160d57c7c14d018b6f751fafd1060b560db6,6,3
0xb1f56a37738c16d150c9aaa5441f056e65f4fbd6,6,3
0x0628c084f4b72c1297e96c7005f309ae89f982a6,6,23
0x0177c207b91b5adbcc426bf48c843a8a5bf9cde9,6,2
0xaa92ee1b8670bff3a2851fae90a16fbdbc89e018,6,8
0xf7b10d603907658f690da534e9b7dbc4dab3e2d6,6,6
0x1315b9510cd7f75a63bb59ba7d9d1fad083d0667,6,12
0xf09d1acbf092ec47970a2aa9e16bc658b2ecf15e,6,34
0x0beb7069c28011a20bcab0f97db593a3832e8e4b,6,1
0x5fc75cbbcddf4398c5c2949a5736e299c1440576,6,4
0x9cca9d2aad42623b068017da87a8689aa80b9e76,6,19
0x53ea9043acb6b4d17c29076fb23dc537fcc6ce93,6,4
0xd6e02c13a6cc133c9d019495414667ea7bee05cc,6,2
0xfa3ce52c15f19f363833b2983340325000a4636c,6,2
0x2bf034eccebc8cd60dab9c249b6c2996dcb7d8ec,6,5
0x2bd7716ce2c43b9c0d58982f5bac67633bf2e7dc,6,1
0x2595f426ec447ef5b250bf7dbd61737e54b28309,6,4
0xb2ead8bb7446cc130c3c515fae31c1865ed66aaf,6,1
0xb8b95a513c2f754ae61087edfe0057c80513e649,6,4
0x42afe93a50c9fba4bf55de264da7bfacdbd2ec70,6,1
0x4d35f0959a19d97daa4be287c379194818299225,6,1
0x56f6bf6b793713c050fd02147a45b563bb4d8efa,6,5
0xe1dfec1c1213baf331eb586468ebdf6b67f7c332,6,3
0xa499df2bdae854093e5576c26c9e53e1b30d25e5,6,20
0xc0afef712a1341ca78da145b2afad346e8c3574f,6,1
0x3f5867645e75c4d8c26e4fdea2c273ce6cdcff53,6,2
0x9346c01def77c612b1c8e1ccf5ac6e15fe4c17e4,6,11
0x8560f3aa7c2522bfeabca88bb8f5f55efe9611fe,6,5
