tokenID,itemID,amount
0,210,1
1,210,1
2,210,1
3,210,1
4,210,1
5,210,1
6,210,1
7,210,1
8,210,1
9,210,1
10,210,1
11,210,1
12,210,1
13,210,1
14,210,1
15,210,1
16,210,1
17,210,1
18,210,1
19,210,1
20,210,1
21,210,1
22,210,1
23,210,1
24,210,1
25,210,1
26,210,1
27,210,1
28,210,1
29,210,1
30,210,1
31,210,1
32,210,1
33,210,1
34,210,1
35,210,1
36,210,1
37,210,1
38,210,1
39,210,1
40,210,1
41,210,1
42,210,1
43,210,1
44,210,1
45,210,1
46,210,1
47,210,1
48,210,1
49,210,1
50,210,1
51,210,1
52,210,1
53,210,1
54,210,1
55,210,1
56,210,1
57,210,1
58,210,1
59,210,1
60,210,1
61,210,1
62,210,1
63,210,1
64,210,1
65,210,1
66,210,1
67,210,1
68,210,1
69,210,1
70,210,1
71,210,1
72,210,1
73,210,1
74,210,1
75,210,1
76,210,1
77,210,1
78,210,1
79,210,1
80,210,1
81,210,1
82,210,1
83,210,1
84,210,1
85,210,1
86,210,1
87,210,1
88,210,1
89,210,1
90,210,1
91,210,1
92,210,1
93,210,1
94,210,1
95,210,1
96,210,1
97,210,1
98,210,1
99,210,1
100,210,1
101,210,1
102,210,1
103,210,1
104,210,1
105,210,1
106,210,1
107,210,1
108,210,1
109,210,1
110,210,1
111,210,1
112,210,1
113,210,1
114,210,1
115,210,1
116,210,1
117,210,1
118,210,1
119,210,1
120,210,1
121,210,1
122,210,1
123,210,1
124,210,1
125,210,1
126,210,1
127,210,1
128,210,1
129,210,1
130,210,1
131,210,1
132,210,1
133,210,1
134,210,1
135,210,1
136,210,1
137,210,1
138,210,1
139,210,1
140,210,1
141,210,1
142,210,1
143,210,1
144,210,1
145,210,1
146,210,1
147,210,1
148,210,1
149,210,1
150,210,1
151,210,1
152,210,1
153,210,1
154,210,1
155,210,1
156,210,1
157,210,1
158,210,1
159,210,1
160,210,1
161,210,1
162,210,1
163,210,1
164,210,1
165,210,1
166,210,1
167,210,1
168,210,1
169,210,1
170,210,1
171,210,1
172,210,1
173,210,1
174,210,1
175,210,1
176,210,1
177,210,1
178,210,1
179,210,1
180,210,1
181,210,1
182,210,1
183,210,1
184,210,1
185,210,1
186,210,1
187,210,1
188,210,1
189,210,1
190,210,1
191,210,1
192,210,1
193,210,1
194,210,1
195,210,1
196,210,1
197,210,1
198,210,1
199,210,1
200,210,1
201,210,1
202,210,1
203,210,1
204,210,1
205,210,1
206,210,1
207,210,1
208,210,1
209,210,1
210,210,1
211,210,1
212,210,1
213,210,1
214,210,1
